Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),price(in lakhs)_Scaled
305,2020 Hyundai Venue E Diesel,2020,Third Party insurance,Diesel,5,30000.0,First Owner,Manual,2020,1493.0,986.0,986.0,24026.0,7.8,-0.04540364708805989
306,2017 Land Rover Discovery Sport Petrol HSE 7S,Nov-17,Comprehensive,Petrol,7,72000.0,First Owner,Automatic,2017,12.81,1997.0,1997.0,23736.0,32.5,-0.0382808140858881
307,2017 Hyundai i20 Sportz 1.2,May-17,Comprehensive,Petrol,5,71361.0,First Owner,Manual,2017,18.6,1197.0,1197.0,8183.0,5.52,-0.04606113936518344
308,2017 BMW X1 sDrive 20d xLine,Jul-17,Comprehensive,Diesel,5,60500.0,First Owner,Automatic,2017,20.68,1995.0,1995.0,188.0,19.95,-0.04189990534812519
309,2021 Audi A6 45 TFSI Technology WO Matrix BSVI,2021,Third Party insurance,Petrol,5,30000.0,First Owner,Automatic,2021,14.11,1984.0,1984.0,2413.0,49.5,-0.033378459388037074
310,2018 Ford Ecosport 1.5 Diesel Titanium,Oct-18,Comprehensive,Diesel,5,64000.0,First Owner,Manual,2018,21.7,1498.0,1498.0,9896.0,7.99,-0.04534885606496626
311,2013 Mercedes-Benz B Class B180 Sports,Nov-13,Comprehensive,Petrol,5,26000.0,Second Owner,Automatic,2013,11.9,1595.0,1595.0,1207.0,12.45,-0.04406270889129476
312,2016 Ford Ecosport 1.5 Petrol Titanium AT,Nov-16,Comprehensive,Petrol,5,60000.0,First Owner,Automatic,2016,14.7,1496.0,1496.0,12069.0,6.49,-0.045781416773600175
313,2021 Audi Q2 Premium Plus I,Jan-21,Comprehensive,Petrol,5,28000.0,First Owner,Automatic,2021,1984.0,18774.0,18774.0,320.0,26.5,-0.04001105692042376
314,2011 Maruti Swift Dzire 1.2 Vxi BSIV,Mar-11,Comprehensive,Petrol,5,89002.0,First Owner,Manual,2011,17.5,1197.0,1197.0,858.0,2.37,-0.04696951685331466
315,2018 Maruti Baleno 1.2 Alpha,Sep-18,Comprehensive,Petrol,5,36937.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,6.4,-0.04580737041611821
316,2019 Toyota Innova Crysta 2.4 VX MT,Apr-19,Third Party insurance,Diesel,7,42000.0,First Owner,Manual,2019,13.68,2393.0,2393.0,14751.0,18.75,-0.04224595391503232
317,2019 BMW 5 Series 520d Luxury Line,Jul-19,Comprehensive,Diesel,5,55000.0,First Owner,Automatic,2019,20.37,1995.0,1995.0,18774.0,41.5,-0.035685449834084615
318,2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,70391.0,Second Owner,Manual,2019,21.01,1197.0,1197.0,8180.0,5.12,-0.046176488887485816
319,2014 Hyundai Elantra SX,Jan-14,Third Party insurance,Petrol,5,56000.0,First Owner,Manual,2014,16.3,1797.0,1797.0,1475.0,4.95,-0.04622551243446433
320,2016 Hyundai Grand i10 Sportz,Aug-16,Comprehensive,Petrol,5,52190.0,First Owner,Manual,2016,18.9,1197.0,1197.0,82.0,4.31,-0.04641007167014813
321,2014 Mercedes-Benz C-Class C 220 CDI Grand Edition,2014,Third Party insurance,Diesel,5,40000.0,First Owner,Automatic,2014,11.78,2143.0,2143.0,16762.0,9.99,-0.044772108453454376
322,2018 Audi A3 35 TDI Premium Plus,Oct-18,Comprehensive,Diesel,5,72000.0,First Owner,Automatic,2018,20.38,1968.0,1968.0,143.0,20.0,-0.04188548665783739
323,2013 Maruti Wagon R VXi BSII,Sep-13,Comprehensive,Petrol,5,48173.0,First Owner,Manual,2013,998.0,671.0,671.0,90.0,2.88,-0.04682244621237913
324,2012 BMW 3 Series 320i Touring,2012,Third Party insurance,Petrol,5,110000.0,Second Owner,Automatic,2012,12.05,1995.0,1995.0,154.0,7.3,-0.04554783399093786
325,2012 Honda City V MT,2012,Third Party insurance,Petrol,5,50000.0,First Owner,Manual,2012,16.8,1497.0,1497.0,1163.0,3.39,-0.046675375571443606
326,2019 Mercedes-Benz CLA Urban Sport 200d,Dec-19,Third Party insurance,Diesel,5,44132.0,Second Owner,Automatic,2019,17.9,2143.0,2143.0,1341.0,26.9,-0.03989570739812138
327,2015 Honda City i VTEC VX,2015,Third Party insurance,Petrol,5,90000.0,Third Owner,Manual,2015,17.4,1497.0,1497.0,1173.0,4.75,-0.04628318719561552
328,2020 Ford Endeavour Titanium Plus 4X4 AT,Dec-20,Comprehensive,Diesel,7,49000.0,First Owner,Automatic,2020,12.4,1996.0,1996.0,16762.0,33.5,-0.037992440280132156
329,2021 Audi Q2 Premium Plus I,Jan-21,Comprehensive,Petrol,5,28000.0,First Owner,Automatic,2021,1984.0,18774.0,18774.0,320.0,26.5,-0.04001105692042376
330,2011 Maruti Swift Dzire 1.2 Vxi BSIV,Mar-11,Comprehensive,Petrol,5,89002.0,First Owner,Manual,2011,17.5,1197.0,1197.0,858.0,2.37,-0.04696951685331466
331,2019 Hyundai Venue SX Turbo,Jul-19,Comprehensive,Petrol,5,28194.0,First Owner,Manual,2019,18.27,998.0,998.0,11835.0,9.03,-0.04504894730698008
332,2019 BMW 5 Series 530i M Sport,Aug-19,Comprehensive,Petrol,5,34500.0,First Owner,Automatic,2019,15.01,1998.0,1998.0,24808.0,52.0,-0.03265752487364722
333,2019 Mercedes-Benz E-Class Exclusive E 220 d BSIV,Sep-19,Zero Dep,Diesel,5,50605.0,Second Owner,Automatic,2019,16.1,1950.0,1950.0,1917.0,39.9,-0.036146847923294124
334,2018 Maruti Baleno 1.2 Alpha,Sep-18,Comprehensive,Petrol,5,36937.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,6.4,-0.04580737041611821
335,2019 Toyota Innova Crysta 2.4 VX MT,Apr-19,Third Party insurance,Diesel,7,42000.0,First Owner,Manual,2019,13.68,2393.0,2393.0,14751.0,18.75,-0.04224595391503232
336,2019 BMW 5 Series 520d Luxury Line,Jul-19,Comprehensive,Diesel,5,55000.0,First Owner,Automatic,2019,20.37,1995.0,1995.0,18774.0,41.5,-0.035685449834084615
337,2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,70391.0,Second Owner,Manual,2019,21.01,1197.0,1197.0,8180.0,5.12,-0.046176488887485816
338,2014 Hyundai Elantra SX,Jan-14,Third Party insurance,Petrol,5,56000.0,First Owner,Manual,2014,16.3,1797.0,1797.0,1475.0,4.95,-0.04622551243446433
339,2016 Hyundai Grand i10 Sportz,Aug-16,Comprehensive,Petrol,5,52190.0,First Owner,Manual,2016,18.9,1197.0,1197.0,82.0,4.31,-0.04641007167014813
340,2014 Mercedes-Benz C-Class C 220 CDI Grand Edition,2014,Third Party insurance,Diesel,5,40000.0,First Owner,Automatic,2014,11.78,2143.0,2143.0,16762.0,9.99,-0.044772108453454376
341,2018 Audi A3 35 TDI Premium Plus,Oct-18,Comprehensive,Diesel,5,72000.0,First Owner,Automatic,2018,20.38,1968.0,1968.0,143.0,20.0,-0.04188548665783739
342,2013 Maruti Wagon R VXi BSII,Sep-13,Comprehensive,Petrol,5,48173.0,First Owner,Manual,2013,998.0,671.0,671.0,90.0,2.88,-0.04682244621237913
343,2012 BMW 3 Series 320i Touring,2012,Third Party insurance,Petrol,5,110000.0,Second Owner,Automatic,2012,12.05,1995.0,1995.0,154.0,7.3,-0.04554783399093786
344,2012 Honda City V MT,2012,Third Party insurance,Petrol,5,50000.0,First Owner,Manual,2012,16.8,1497.0,1497.0,1163.0,3.39,-0.046675375571443606
345,2019 Mercedes-Benz CLA Urban Sport 200d,Dec-19,Third Party insurance,Diesel,5,44132.0,Second Owner,Automatic,2019,17.9,2143.0,2143.0,1341.0,26.9,-0.03989570739812138
346,2015 Honda City i VTEC VX,2015,Third Party insurance,Petrol,5,90000.0,Third Owner,Manual,2015,17.4,1497.0,1497.0,1173.0,4.75,-0.04628318719561552
347,2020 Ford Endeavour Titanium Plus 4X4 AT,Dec-20,Comprehensive,Diesel,7,49000.0,First Owner,Automatic,2020,12.4,1996.0,1996.0,16762.0,33.5,-0.037992440280132156
348,2017 Audi Q7 3.0 TDI Quattro Technology,May-17,Comprehensive,Diesel,7,70000.0,Second Owner,Automatic,2017,12.07,2967.0,2967.0,2414.0,40.0,-0.03611801054271853
349,2015 Hyundai Creta 1.6 Gamma SX Plus,Oct-15,Comprehensive,Petrol,5,49341.0,First Owner,Manual,2015,15.29,1591.0,1591.0,1213.0,8.42,-0.04522485532849121
350,2018 Isuzu MU-X 4X2,Oct-18,Comprehensive,Diesel,7,55000.0,First Owner,Automatic,2018,13.8,2999.0,2999.0,175.0,18.95,-0.04218827915388113
351,2019 Hyundai Creta 1.4 S,Jun-19,Comprehensive,Diesel,5,55861.0,First Owner,Manual,2019,22.1,1396.0,1396.0,887.0,10.27,-0.04469136378784271
352,2018 Land Rover Discovery HSE 3.0 Si6,Jul-18,Third Party insurance,Petrol,7,76000.0,Second Owner,Automatic,2018,9.17,2995.0,2995.0,33525.0,49.5,-0.033378459388037074
353,2018 Toyota Innova Crysta 2.4 G MT,Jul-18,Comprehensive,Diesel,7,68000.0,First Owner,Manual,2018,13.68,2393.0,2393.0,14751.0,14.25,-0.04354363604093406
354,2014 Honda Amaze VX i-VTEC,May-14,Comprehensive,Petrol,5,52565.0,First Owner,Manual,2014,17.8,1198.0,1198.0,867.0,4.17,-0.04645044400295397
355,2018 Volvo S90 D4 Momentum,Nov-18,Comprehensive,Diesel,5,72000.0,First Owner,Automatic,2018,18.0,1969.0,1969.0,190.0,29.55,-0.03913151681286813
356,2017 Audi Q7 45 TDI Quattro Technology,Aug-17,Comprehensive,Diesel,7,70000.0,Second Owner,Automatic,2017,14.75,2967.0,2967.0,245.0,40.0,-0.03611801054271853
357,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jul-19,Comprehensive,Petrol,5,73074.0,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,4.93,-0.046231279910579445
358,2019 Tata Harrier XZ,Jun-19,Third Party insurance,Diesel,5,45000.0,First Owner,Manual,2019,16.35,1956.0,1956.0,16767.0,13.75,-0.04368782294381203
359,2014 Hyundai Grand i10 Magna,Jun-14,Comprehensive,Petrol,5,90995.0,First Owner,Manual,2014,1197.0,82.0,82.0,114.0,3.35,-0.04668691052367384
360,2017 Renault KWID 1.0 RXT Optional AT 2016-2019,2017,Third Party insurance,Petrol,5,30000.0,First Owner,Automatic,2017,23.01,999.0,999.0,67.0,3.35,-0.04668691052367384
361,2014 Honda City i DTEC V,2014,Third Party insurance,Diesel,5,80000.0,1498 cc,2014,Power Steering,1498.0,986.0,986.0,200.0,4.75,-0.04628318719561552
362,2014 Maruti Wagon R LXI BS IV,Mar-14,Third Party,Petrol,5,42346.0,Second Owner,Manual,2014,20.51,998.0,998.0,6704.0,3.01,-0.04678495761763086
363,2020 Honda City i-VTEC CVT VX,Aug-20,Comprehensive,Petrol,5,31120.0,First Owner,Automatic,2020,18.0,1497.0,1497.0,1176.0,11.5,-0.0443366640067629
364,2014 Hyundai Verna 1.6 SX CRDI (O) AT,2014,Third Party insurance,Diesel,5,100000.0,First Owner,Automatic,2014,22.32,1582.0,1582.0,12632.0,3.95,-0.04651388624022028
365,2018 Toyota Yaris J CVT BSIV,2018,Third Party insurance,Petrol,5,33500.0,First Owner,Automatic,2018,17.8,1496.0,1496.0,1055.0,7.5,-0.04549015922978667
366,2015 Hyundai Grand i10 Magna CNG,Oct-15,Comprehensive,CNG,5,64000.0,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.25,-0.04642737409849349
367,2011 Honda City 1.5 S MT,2011,Third Party insurance,Petrol,5,110000.0,1497 cc,2011,Power Steering,1497.0,1186600.0,1186600.0,1464800.0,3.5,-0.04664365445281045
368,2017 Audi Q7 3.0 TDI Quattro Technology,May-17,Comprehensive,Diesel,7,70000.0,Second Owner,Automatic,2017,12.07,2967.0,2967.0,2414.0,40.0,-0.03611801054271853
369,2015 Hyundai Creta 1.6 Gamma SX Plus,Oct-15,Comprehensive,Petrol,5,49341.0,First Owner,Manual,2015,15.29,1591.0,1591.0,1213.0,8.42,-0.04522485532849121
370,2018 Isuzu MU-X 4X2,Oct-18,Comprehensive,Diesel,7,55000.0,First Owner,Automatic,2018,13.8,2999.0,2999.0,175.0,18.95,-0.04218827915388113
371,2019 Hyundai Creta 1.4 S,Jun-19,Comprehensive,Diesel,5,55861.0,First Owner,Manual,2019,22.1,1396.0,1396.0,887.0,10.27,-0.04469136378784271
372,2018 Land Rover Discovery HSE 3.0 Si6,Jul-18,Third Party insurance,Petrol,7,76000.0,Second Owner,Automatic,2018,9.17,2995.0,2995.0,33525.0,49.5,-0.033378459388037074
373,2018 Toyota Innova Crysta 2.4 G MT,Jul-18,Comprehensive,Diesel,7,68000.0,First Owner,Manual,2018,13.68,2393.0,2393.0,14751.0,14.25,-0.04354363604093406
374,2014 Honda Amaze VX i-VTEC,May-14,Comprehensive,Petrol,5,52565.0,First Owner,Manual,2014,17.8,1198.0,1198.0,867.0,4.17,-0.04645044400295397
375,2018 Volvo S90 D4 Momentum,Nov-18,Comprehensive,Diesel,5,72000.0,First Owner,Automatic,2018,18.0,1969.0,1969.0,190.0,29.55,-0.03913151681286813
376,2017 Audi Q7 45 TDI Quattro Technology,Aug-17,Comprehensive,Diesel,7,70000.0,Second Owner,Automatic,2017,14.75,2967.0,2967.0,245.0,40.0,-0.03611801054271853
377,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jul-19,Comprehensive,Petrol,5,73074.0,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,4.93,-0.046231279910579445
378,2019 Tata Harrier XZ,Jun-19,Third Party insurance,Diesel,5,45000.0,First Owner,Manual,2019,16.35,1956.0,1956.0,16767.0,13.75,-0.04368782294381203
379,2014 Hyundai Grand i10 Magna,Jun-14,Comprehensive,Petrol,5,90995.0,First Owner,Manual,2014,1197.0,82.0,82.0,114.0,3.35,-0.04668691052367384
380,2017 Renault KWID 1.0 RXT Optional AT 2016-2019,2017,Third Party insurance,Petrol,5,30000.0,First Owner,Automatic,2017,23.01,999.0,999.0,67.0,3.35,-0.04668691052367384
381,2014 Honda City i DTEC V,2014,Third Party insurance,Diesel,5,80000.0,1498 cc,2014,Power Steering,1498.0,986.0,986.0,200.0,4.75,-0.04628318719561552
382,2014 Maruti Wagon R LXI BS IV,Mar-14,Third Party,Petrol,5,42346.0,Second Owner,Manual,2014,20.51,998.0,998.0,6704.0,3.01,-0.04678495761763086
383,2020 Honda City i-VTEC CVT VX,Aug-20,Comprehensive,Petrol,5,31120.0,First Owner,Automatic,2020,18.0,1497.0,1497.0,1176.0,11.5,-0.0443366640067629
384,2014 Hyundai Verna 1.6 SX CRDI (O) AT,2014,Third Party insurance,Diesel,5,100000.0,First Owner,Automatic,2014,22.32,1582.0,1582.0,12632.0,3.95,-0.04651388624022028
385,2018 Toyota Yaris J CVT BSIV,2018,Third Party insurance,Petrol,5,33500.0,First Owner,Automatic,2018,17.8,1496.0,1496.0,1055.0,7.5,-0.04549015922978667
386,2015 Hyundai Grand i10 Magna CNG,Oct-15,Comprehensive,CNG,5,64000.0,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.25,-0.04642737409849349
387,2011 Honda City 1.5 S MT,2011,Third Party insurance,Petrol,5,110000.0,1497 cc,2011,Power Steering,1497.0,1186600.0,1186600.0,1464800.0,3.5,-0.04664365445281045
388,2022 BMW 7 Series 740Li M Sport,Oct-22,Comprehensive,Petrol,4,4000.0,First Owner,Automatic,2022,11.86,2998.0,2998.0,33525.0,1.25,-0.04729249551576132
389,2011 Maruti A-Star Zxi,May-12,Comprehensive,Petrol,5,48936.0,Second Owner,Manual,2011,19.0,998.0,998.0,661.0,2.34,-0.046978168067487336
390,2019 Mitsubishi Outlander 2.4 CVT,Mar-19,Comprehensive,Petrol,7,23000.0,Second Owner,Automatic,2019,10.2,2360.0,2360.0,16494.0,19.5,-0.04202967356071536
391,2017 Maruti Baleno 1.2 Zeta,Sep-17,Comprehensive,Petrol,5,61814.0,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.27,-0.046133232816622426
392,2019 BMW X5 xDrive 30d xLine,Jan-19,Zero Dep,Diesel,5,62000.0,Second Owner,Automatic,2019,13.38,2993.0,2993.0,26150.0,47.98,-0.03381678757278611
393,2017 Volkswagen Polo GT TSI Sport Edition,2017,Third Party insurance,Petrol,5,40000.0,First Owner,Automatic,2017,17.21,1197.0,1197.0,1035.0,10.0,-0.044769224715396815
394,2020 Hyundai Venue SX Turbo,Dec-20,Comprehensive,Petrol,5,30200.0,First Owner,Manual,2020,18.27,998.0,998.0,11835.0,9.25,-0.04498550506971377
395,2020 Skoda Superb LK 1.8 TSI AT,Aug-20,Third Party insurance,Petrol,5,34123.0,First Owner,Automatic,2020,14.67,1798.0,1798.0,17746.0,30.5,-0.03885756169739999
396,2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,May-22,Comprehensive,Petrol,5,16000.0,First Owner,Automatic,2022,2996.0,38487.0,38487.0,520.0,83.0,-0.023717936895212986
397,2018 Maruti Vitara Brezza ZDi Plus Dual Tone,Oct-18,Comprehensive,Diesel,5,28645.0,First Owner,Manual,2018,24.3,1248.0,1248.0,885.0,7.71,-0.045429600730577925
398,2015 Audi A4 35 TDI Premium,Mar-15,Comprehensive,Diesel,5,48933.0,Second Owner,Automatic,2015,17.11,1968.0,1968.0,17433.0,15.75,-0.043111075332300144
399,2016 Hyundai Creta 1.6 VTVT AT SX Plus,May-16,Comprehensive,Petrol,5,60970.0,First Owner,Automatic,2016,13.0,1591.0,1591.0,1213.0,9.4,-0.04494224899885038
400,2017 Hyundai Creta 1.6 VTVT AT SX Plus,2017,Third Party insurance,Petrol,5,50000.0,First Owner,Automatic,2017,13.0,1591.0,1591.0,1213.0,7.75,-0.045418065778347685
401,2018 Toyota Fortuner 2.8 4WD MT,Mar-18,Third Party insurance,Diesel,7,56000.0,First Owner,Manual,2018,14.24,2755.0,2755.0,1745.0,27.5,-0.03972268311466782
402,2018 Hyundai Grand i10 1.2 Kappa Asta,Jul-18,Comprehensive,Petrol,5,40427.0,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.36,-0.04610727917410439
403,2019 Maruti Ciaz 1.4 Delta,Sep-19,Third Party insurance,Petrol,5,54213.0,First Owner,Manual,2019,20.73,1373.0,1373.0,911.0,7.9,-0.045374809707484295
404,2021 Ford Endeavour Titanium Plus 4X4 AT,2021,Third Party insurance,Diesel,7,20000.0,1996 cc,2021,Power Steering,1996.0,16762.0,16762.0,420.0,32.0,-0.03842500098876607
405,2011 Toyota Corolla Altis G,May-11,Third Party insurance,Petrol,5,85000.0,Second Owner,Manual,2011,14.53,1798.0,1798.0,1381.0,2.75,-0.046859934807127405
406,2016 Toyota Innova Crysta 2.4 G MT 8 STR,Oct-16,Comprehensive,Diesel,8,91000.0,Second Owner,Manual,2016,13.68,2393.0,2393.0,14751.0,12.0,-0.04419247710388493
407,2016 Hyundai Grand i10 Sportz,Oct-16,Third Party insurance,Petrol,5,47000.0,First Owner,Manual,2016,18.9,1197.0,1197.0,82.0,3.85,-0.04654272362079587
408,2015 Honda City i VTEC CVT VX,Sep-15,Comprehensive,Petrol,5,54630.0,First Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.86,-0.04567471846547047
409,2015 Audi Q7 45 TDI Quattro Technology,Mar-16,Comprehensive,Diesel,7,72222.0,Second Owner,Automatic,2015,14.75,2967.0,2967.0,245.0,34.9,-0.03758871695207384
410,2019 Honda City i-VTEC CVT ZX,Mar-20,Comprehensive,Petrol,5,41116.0,First Owner,Automatic,2019,18.0,1497.0,1497.0,1176.0,10.39,-0.044656758931152
411,2019 Land Rover Range Rover Sport 2.0 Petrol SE,Feb-19,Zero Dep,Petrol,5,4000.0,First Owner,Automatic,2019,12.65,1997.0,1997.0,29636.0,1.1,-0.04733575158662471
412,2017 Jaguar XJ 2.0L Portfolio,Aug-17,Comprehensive,Petrol,5,20000.0,First Owner,Automatic,2017,9.43,1999.0,1999.0,2374.0,69.0,-0.027755170175796186
413,2021 Tata Altroz XZ Plus BSVI,Jan-23,Comprehensive,Petrol,5,29502.0,First Owner,Manual,2021,19.33,1199.0,1199.0,8683.0,7.56,-0.045472856801441315
414,2014 BMW X5 xDrive 30d M Sport,Jan-14,Comprehensive,Diesel,5,132501.0,First Owner,Automatic,2014,15.97,2993.0,2993.0,258.0,12.21,-0.04413191860467618
415,2017 Mercedes-Benz E-Class E250 CDI Avantgarde,May-17,Comprehensive,Diesel,5,35000.0,First Owner,Automatic,2017,13.0,2143.0,2143.0,204.0,23.9,-0.040760828815389206
416,2017 Honda WR-V i-DTEC VX,Oct-17,Comprehensive,Diesel,5,56458.0,Second Owner,Manual,2017,25.5,1498.0,1498.0,986.0,5.71,-0.04600634834208981
417,2018 Maruti Ciaz 1.4 AT Alpha,Sep-18,Comprehensive,Petrol,5,50000.0,First Owner,Automatic,2018,19.12,1373.0,1373.0,911.0,7.25,-0.04556225268122566
418,2018 Maruti Baleno 1.2 Zeta,Aug-18,Comprehensive,Petrol,5,61657.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,5.93,-0.0459429061048235
419,2016 Honda City i VTEC CVT VX,2016,Third Party insurance,Petrol,5,50000.0,First Owner,Automatic,2016,18.0,1497.0,1497.0,1173.0,6.5,-0.04577853303554262
420,2017 Maruti Ciaz 1.4 Zeta,Oct-17,Third Party insurance,Petrol,5,67000.0,First Owner,Manual,2017,20.73,1373.0,1373.0,911.0,6.25,-0.045850626486981606
421,2016 Hyundai i20 Sportz 1.2,Jan-16,Comprehensive,Petrol,5,104948.0,First Owner,Manual,2016,18.6,1197.0,1197.0,8183.0,4.61,-0.04632355952842135
422,2017 Jaguar XJ 2.0L Portfolio,Sep-17,Comprehensive,Petrol,5,20000.0,First Owner,Automatic,2017,9.43,1999.0,1999.0,2374.0,52.0,-0.03265752487364722
423,2023 Kia Seltos HTK Plus,2023,Third Party insurance,Petrol,5,10000.0,First Owner,Manual,2023,17.0,1497.0,1497.0,11342.0,15.21,-0.043266797187408355
424,2014 Mercedes-Benz M-Class ML 350 CDI,Mar-14,Comprehensive,Diesel,5,154000.0,Second Owner,Automatic,2014,11.74,2987.0,2987.0,2548.0,17.5,-0.042606421172227245
425,2016 Toyota Camry 2.5 Hybrid,Sep-16,Comprehensive,Petrol,5,46000.0,First Owner,Automatic,2016,19.16,2494.0,2494.0,1577.0,20.5,-0.04174129975495942
426,2015 Honda City i VTEC E,Jun-15,Comprehensive,Petrol,5,90000.0,First Owner,Manual,2015,1497.0,1173.0,1173.0,145.0,5.65,-0.046023650770435166
427,2016 Hyundai Grand i10 Sportz,Oct-16,Third Party insurance,Petrol,5,47000.0,First Owner,Manual,2016,18.9,1197.0,1197.0,82.0,3.85,-0.04654272362079587
428,2015 Honda City i VTEC CVT VX,Sep-15,Comprehensive,Petrol,5,54630.0,First Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.86,-0.04567471846547047
429,2015 Audi Q7 45 TDI Quattro Technology,Mar-16,Comprehensive,Diesel,7,72222.0,Second Owner,Automatic,2015,14.75,2967.0,2967.0,245.0,34.9,-0.03758871695207384
430,2019 Honda City i-VTEC CVT ZX,Mar-20,Comprehensive,Petrol,5,41116.0,First Owner,Automatic,2019,18.0,1497.0,1497.0,1176.0,10.39,-0.044656758931152
431,2019 Land Rover Range Rover Sport 2.0 Petrol SE,Feb-19,Zero Dep,Petrol,5,4000.0,First Owner,Automatic,2019,12.65,1997.0,1997.0,29636.0,1.1,-0.04733575158662471
432,2017 Jaguar XJ 2.0L Portfolio,Aug-17,Comprehensive,Petrol,5,20000.0,First Owner,Automatic,2017,9.43,1999.0,1999.0,2374.0,69.0,-0.027755170175796186
433,2021 Tata Altroz XZ Plus BSVI,Jan-23,Comprehensive,Petrol,5,29502.0,First Owner,Manual,2021,19.33,1199.0,1199.0,8683.0,7.56,-0.045472856801441315
434,2014 BMW X5 xDrive 30d M Sport,Jan-14,Comprehensive,Diesel,5,132501.0,First Owner,Automatic,2014,15.97,2993.0,2993.0,258.0,12.21,-0.04413191860467618
435,2017 Mercedes-Benz E-Class E250 CDI Avantgarde,May-17,Comprehensive,Diesel,5,35000.0,First Owner,Automatic,2017,13.0,2143.0,2143.0,204.0,23.9,-0.040760828815389206
436,2017 Honda WR-V i-DTEC VX,Oct-17,Comprehensive,Diesel,5,56458.0,Second Owner,Manual,2017,25.5,1498.0,1498.0,986.0,5.71,-0.04600634834208981
437,2018 Maruti Ciaz 1.4 AT Alpha,Sep-18,Comprehensive,Petrol,5,50000.0,First Owner,Automatic,2018,19.12,1373.0,1373.0,911.0,7.25,-0.04556225268122566
438,2018 Maruti Baleno 1.2 Zeta,Aug-18,Comprehensive,Petrol,5,61657.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,5.93,-0.0459429061048235
439,2016 Honda City i VTEC CVT VX,2016,Third Party insurance,Petrol,5,50000.0,First Owner,Automatic,2016,18.0,1497.0,1497.0,1173.0,6.5,-0.04577853303554262
440,2017 Maruti Ciaz 1.4 Zeta,Oct-17,Third Party insurance,Petrol,5,67000.0,First Owner,Manual,2017,20.73,1373.0,1373.0,911.0,6.25,-0.045850626486981606
441,2016 Hyundai i20 Sportz 1.2,Jan-16,Comprehensive,Petrol,5,104948.0,First Owner,Manual,2016,18.6,1197.0,1197.0,8183.0,4.61,-0.04632355952842135
442,2017 Jaguar XJ 2.0L Portfolio,Sep-17,Comprehensive,Petrol,5,20000.0,First Owner,Automatic,2017,9.43,1999.0,1999.0,2374.0,52.0,-0.03265752487364722
443,2023 Kia Seltos HTK Plus,2023,Third Party insurance,Petrol,5,10000.0,First Owner,Manual,2023,17.0,1497.0,1497.0,11342.0,15.21,-0.043266797187408355
444,2014 Mercedes-Benz M-Class ML 350 CDI,Mar-14,Comprehensive,Diesel,5,154000.0,Second Owner,Automatic,2014,11.74,2987.0,2987.0,2548.0,17.5,-0.042606421172227245
445,2016 Toyota Camry 2.5 Hybrid,Sep-16,Comprehensive,Petrol,5,46000.0,First Owner,Automatic,2016,19.16,2494.0,2494.0,1577.0,20.5,-0.04174129975495942
446,2015 Honda City i VTEC E,Jun-15,Comprehensive,Petrol,5,90000.0,First Owner,Manual,2015,1497.0,1173.0,1173.0,145.0,5.65,-0.046023650770435166
447,2020 Audi A3 35 TDI Premium Plus,Jan-20,Comprehensive,Diesel,5,39000.0,Second Owner,Automatic,2020,20.38,1968.0,1968.0,143.0,22.5,-0.04116455214344753
448,2017 Hyundai Creta 1.6 VTVT AT SX Plus,Aug-17,Comprehensive,Petrol,5,64727.0,First Owner,Automatic,2017,13.0,1591.0,1591.0,1213.0,9.87,-0.04480671331014509
449,2018 Hyundai i20 Active 1.4 S,Sep-18,Third Party insurance,Diesel,5,65000.0,First Owner,Manual,2018,21.19,1396.0,1396.0,8873.0,6.5,-0.04577853303554262
450,2013 Honda Brio S MT,Feb-13,Third Party,Petrol,5,44636.0,Second Owner,Manual,2013,19.4,1198.0,1198.0,868.0,2.63,-0.04689453966381812
451,2015 Toyota Fortuner 4x2 AT,Aug-15,Comprehensive,Diesel,7,100000.0,Second Owner,Automatic,2015,12.55,2982.0,2982.0,1685.0,15.5,-0.04318316878373913
452,2021 Mercedes-Benz C-Class Progressive C 220d,Aug-21,Zero Dep,Diesel,5,23616.0,First Owner,Automatic,2021,12.6,1950.0,1950.0,194.0,43.9,-0.034993352700270354
